cluster	gene
G2M/S ventral progenitors and IPs	CBX5
G2M/S ventral progenitors and IPs	PIM1
G2M/S ventral progenitors and IPs	LBR
G2M/S ventral progenitors and IPs	C19orf43
G2M/S ventral progenitors and IPs	CARHSP1
G2M/S ventral progenitors and IPs	NAA38
G2M/S ventral progenitors and IPs	EXOSC8
G2M/S ventral progenitors and IPs	BANF1
G2M/S ventral progenitors and IPs	DBI
G2M/S ventral progenitors and IPs	PSIP1
G2M/S ventral progenitors and IPs	FOS
G2M/S ventral progenitors and IPs	SMCHD1
G2M/S ventral progenitors and IPs	RHEB
G2M/S ventral progenitors and IPs	ITGB3BP
G2M/S ventral progenitors and IPs	SRSF10
G2M/S ventral progenitors and IPs	PHGDH
G2M/S ventral progenitors and IPs	RHNO1
G2M/S ventral progenitors and IPs	MCM3
G2M/S ventral progenitors and IPs	EXOSC9
G2M/S ventral progenitors and IPs	STXBP6
G2M/S ventral progenitors and IPs	RAB3IP
G2M/S ventral progenitors and IPs	EMC9
G2M/S ventral progenitors and IPs	PA2G4
G2M/S ventral progenitors and IPs	NEDD4L
G2M/S ventral progenitors and IPs	SRI
G2M/S ventral progenitors and IPs	HNRNPAB
G2M/S ventral progenitors and IPs	NT5DC2
G2M/S ventral progenitors and IPs	CDCA7
G2M/S ventral progenitors and IPs	CCDC88A
G2M/S ventral progenitors and IPs	SSRP1
G2M/S ventral progenitors and IPs	DCTN3
G2M/S ventral progenitors and IPs	TMEM123
G2M/S ventral progenitors and IPs	PARP1
G2M/S ventral progenitors and IPs	TFDP2
G2M/S ventral progenitors and IPs	SNRPD1
G2M/S ventral progenitors and IPs	RPA2
G2M/S ventral progenitors and IPs	MCM6
G2M/S ventral progenitors and IPs	PHIP
G2M/S ventral progenitors and IPs	GCA
G2M/S ventral progenitors and IPs	JADE1
G2M/S ventral progenitors and IPs	SHFM1
G2M/S ventral progenitors and IPs	SUPT16H
G2M/S ventral progenitors and IPs	VIM
G2M/S ventral progenitors and IPs	CASP8AP2
G2M/S ventral progenitors and IPs	RPN2
G2M/S ventral progenitors and IPs	SLBP
G2M/S ventral progenitors and IPs	HEY1
G2M/S ventral progenitors and IPs	RPS27L
G2M/S ventral progenitors and IPs	CDCA7L
G2M/S ventral progenitors and IPs	HMGN5
G2M/S ventral progenitors and IPs	IER2
G2M/S ventral progenitors and IPs	PEG10
G2M/S ventral progenitors and IPs	RFC1
G2M/S ventral progenitors and IPs	LIMA1
G2M/S ventral progenitors and IPs	NUDCD2
G2M/S ventral progenitors and IPs	MCM4
G2M/S ventral progenitors and IPs	GADD45G
G2M/S ventral progenitors and IPs	NMU
G2M/S ventral progenitors and IPs	DLX5
G2M/S ventral progenitors and IPs	ARL6IP1
G2M/S ventral progenitors and IPs	FABP5
G2M/S ventral progenitors and IPs	PHLDA1
gliogenic/outer radial glia	PTN
gliogenic/outer radial glia	PMP2
gliogenic/outer radial glia	FABP7
gliogenic/outer radial glia	BCAN
gliogenic/outer radial glia	CLU
gliogenic/outer radial glia	NPY
gliogenic/outer radial glia	C1orf61
gliogenic/outer radial glia	PTPRZ1
gliogenic/outer radial glia	GPM6B
gliogenic/outer radial glia	CST3
gliogenic/outer radial glia	SCRG1
gliogenic/outer radial glia	VIM
gliogenic/outer radial glia	SLC1A3
gliogenic/outer radial glia	HOPX
gliogenic/outer radial glia	NTRK2
gliogenic/outer radial glia	PEA15
gliogenic/outer radial glia	TTYH1
gliogenic/outer radial glia	MT3
gliogenic/outer radial glia	FOS
gliogenic/outer radial glia	CDO1
gliogenic/outer radial glia	CREB5
gliogenic/outer radial glia	PON2
gliogenic/outer radial glia	EDNRB
gliogenic/outer radial glia	IQGAP2
gliogenic/outer radial glia	FAM107A
gliogenic/outer radial glia	SOX2
gliogenic/outer radial glia	IFI44L
gliogenic/outer radial glia	EGR1
gliogenic/outer radial glia	PLPP3
gliogenic/outer radial glia	DBI
gliogenic/outer radial glia	HES1
gliogenic/outer radial glia	EZR
gliogenic/outer radial glia	FAM181B
gliogenic/outer radial glia	ALDOC
gliogenic/outer radial glia	NKAIN3
gliogenic/outer radial glia	PTGDS
gliogenic/outer radial glia	SOX9
gliogenic/outer radial glia	C8orf4
gliogenic/outer radial glia	KCNIP2
gliogenic/outer radial glia	EPS8
gliogenic/outer radial glia	SEPT11
gliogenic/outer radial glia	FAM171B
gliogenic/outer radial glia	SEPT7
gliogenic/outer radial glia	DOK5
gliogenic/outer radial glia	SPARC
gliogenic/outer radial glia	VEPH1
gliogenic/outer radial glia	FBXO32
gliogenic/outer radial glia	CA12
gliogenic/outer radial glia	QKI
gliogenic/outer radial glia	LYPD1
gliogenic/outer radial glia	CHRDL1
gliogenic/outer radial glia	ZFP36L1
gliogenic/outer radial glia	ADGRV1
gliogenic/outer radial glia	LINC00461
gliogenic/outer radial glia	SH3BGRL
gliogenic/outer radial glia	CKB
gliogenic/outer radial glia	HSPB1
gliogenic/outer radial glia	PHYHIPL
gliogenic/outer radial glia	SDCBP
gliogenic/outer radial glia	LRRC3B
gliogenic/outer radial glia	ATP1A2
gliogenic/outer radial glia	CROT
gliogenic/outer radial glia	RHOC
gliogenic/outer radial glia	MDFI
gliogenic/outer radial glia	IL33
gliogenic/outer radial glia	NDRG2
gliogenic/outer radial glia	CNN3
gliogenic/outer radial glia	EEPD1
gliogenic/outer radial glia	MT2A
gliogenic/outer radial glia	ATP1B2
gliogenic/outer radial glia	METRN
gliogenic/outer radial glia	MYO10
gliogenic/outer radial glia	FEZ1
gliogenic/outer radial glia	PDLIM3
gliogenic/outer radial glia	TNC
gliogenic/outer radial glia	RAB31
gliogenic/outer radial glia	SPECC1
gliogenic/outer radial glia	HTRA1
gliogenic/outer radial glia	VCAM1
gliogenic/outer radial glia	PAG1
gliogenic/outer radial glia	ZBTB20
gliogenic/outer radial glia	LRIG1
gliogenic/outer radial glia	SOX3
gliogenic/outer radial glia	TIMP3
gliogenic/outer radial glia	LIX1
gliogenic/outer radial glia	LRRC17
gliogenic/outer radial glia	PTH2R
gliogenic/outer radial glia	SOX6
gliogenic/outer radial glia	MOXD1
gliogenic/outer radial glia	BMP7
gliogenic/outer radial glia	ADGRG1
gliogenic/outer radial glia	ABHD3
gliogenic/outer radial glia	FGFR3
gliogenic/outer radial glia	MASP1
gliogenic/outer radial glia	TFPI
gliogenic/outer radial glia	DDAH1
gliogenic/outer radial glia	NFIA
gliogenic/outer radial glia	GPR137B
gliogenic/outer radial glia	FAM69C
gliogenic/outer radial glia	CHST9
gliogenic/outer radial glia	SNCAIP
gliogenic/outer radial glia	TRIM9
gliogenic/outer radial glia	LTBP1
gliogenic/outer radial glia	NOTCH2
gliogenic/outer radial glia	RP11-849I19.1
gliogenic/outer radial glia	UG0898H09
gliogenic/outer radial glia	GLIPR2
gliogenic/outer radial glia	RFX4
gliogenic/outer radial glia	SLITRK2
gliogenic/outer radial glia	NPAS3
gliogenic/outer radial glia	KCNN3
gliogenic/outer radial glia	F3
gliogenic/outer radial glia	CSPG5
gliogenic/outer radial glia	MLC1
gliogenic/outer radial glia	CD82
gliogenic/outer radial glia	SERPINB6
gliogenic/outer radial glia	S1PR1
gliogenic/outer radial glia	COL11A1
gliogenic/outer radial glia	SLC4A4
gliogenic/outer radial glia	PDGFD
gliogenic/outer radial glia	RAMP1
gliogenic/outer radial glia	ENKUR
gliogenic/outer radial glia	LRRC10B
gliogenic/outer radial glia	LRRTM3
gliogenic/outer radial glia	PMP22
gliogenic/outer radial glia	LIPG
gliogenic/outer radial glia	RP11-436D23.1
gliogenic/outer radial glia	LIFR
gliogenic/outer radial glia	NCAM2
gliogenic/outer radial glia	PAQR6
gliogenic/outer radial glia	MAOA
gliogenic/outer radial glia	GPC1
gliogenic/outer radial glia	PLP1
gliogenic/outer radial glia	POU3F2
gliogenic/outer radial glia	DHRS3
gliogenic/outer radial glia	MEIS2
gliogenic/outer radial glia	LAMP5
gliogenic/outer radial glia	NFE2L2
gliogenic/outer radial glia	SAT1
gliogenic/outer radial glia	ID4
gliogenic/outer radial glia	PBXIP1
gliogenic/outer radial glia	LGALS3BP
gliogenic/outer radial glia	TSPAN3
gliogenic/outer radial glia	SFRP1
gliogenic/outer radial glia	ZFHX4
gliogenic/outer radial glia	HES5
gliogenic/outer radial glia	CD99
gliogenic/outer radial glia	NEK6
gliogenic/outer radial glia	MT-ND3
gliogenic/outer radial glia	FOXK1
gliogenic/outer radial glia	LSAMP
gliogenic/outer radial glia	SNX3
gliogenic/outer radial glia	ADAMTS6
gliogenic/outer radial glia	ADGRB3
gliogenic/outer radial glia	GSX2
gliogenic/outer radial glia	LINC01551
gliogenic/outer radial glia	SRI
gliogenic/outer radial glia	IFI6
gliogenic/outer radial glia	CRYL1
gliogenic/outer radial glia	ITM2B
gliogenic/outer radial glia	NDRG4
gliogenic/outer radial glia	BTBD17
gliogenic/outer radial glia	EMP3
gliogenic/outer radial glia	DKK3
gliogenic/outer radial glia	NDN
gliogenic/outer radial glia	ZFP36L2
gliogenic/outer radial glia	C1orf54
gliogenic/outer radial glia	IFI27L2
gliogenic/outer radial glia	MIR99AHG
gliogenic/outer radial glia	PID1
gliogenic/outer radial glia	RGMA
gliogenic/outer radial glia	NR2E1
gliogenic/outer radial glia	TXNIP
gliogenic/outer radial glia	GLI3
gliogenic/outer radial glia	OBSL1
gliogenic/outer radial glia	TSPAN5
gliogenic/outer radial glia	SOX21
gliogenic/outer radial glia	ARHGAP21
gliogenic/outer radial glia	HADHB
gliogenic/outer radial glia	ARHGAP5
gliogenic/outer radial glia	NAPEPLD
gliogenic/outer radial glia	SPAG16
gliogenic/outer radial glia	PLTP
gliogenic/outer radial glia	SYNE1
gliogenic/outer radial glia	MAGED2
gliogenic/outer radial glia	HSPA4L
gliogenic/outer radial glia	B2M
gliogenic/outer radial glia	RPS27L
gliogenic/outer radial glia	CHPF
gliogenic/outer radial glia	NDP
gliogenic/outer radial glia	DNER
gliogenic/outer radial glia	NCALD
gliogenic/outer radial glia	PCDH17
gliogenic/outer radial glia	DTNA
gliogenic/outer radial glia	APC
gliogenic/outer radial glia	DHRS4
gliogenic/outer radial glia	LPAR4
gliogenic/outer radial glia	STK39
gliogenic/outer radial glia	ANXA6
gliogenic/outer radial glia	HS6ST2
gliogenic/outer radial glia	HES4
gliogenic/outer radial glia	ACTR3B
gliogenic/outer radial glia	TSC22D4
gliogenic/outer radial glia	KCNG1
gliogenic/outer radial glia	TSPO
gliogenic/outer radial glia	ACBD5
gliogenic/outer radial glia	UBL3
gliogenic/outer radial glia	ZMAT3
gliogenic/outer radial glia	NR2F1
gliogenic/outer radial glia	LIMA1
gliogenic/outer radial glia	MGST3
gliogenic/outer radial glia	CIB1
gliogenic/outer radial glia	CMBL
gliogenic/outer radial glia	ID2
gliogenic/outer radial glia	LHX2
gliogenic/outer radial glia	SCRN1
gliogenic/outer radial glia	ARID5B
gliogenic/outer radial glia	CTD-2336O2.1
gliogenic/outer radial glia	CCND2
gliogenic/outer radial glia	ETV1
gliogenic/outer radial glia	AAMDC
gliogenic/outer radial glia	JAM2
gliogenic/outer radial glia	GCA
gliogenic/outer radial glia	BLVRB
gliogenic/outer radial glia	LINC00998
gliogenic/outer radial glia	SPG20
gliogenic/outer radial glia	INTU
gliogenic/outer radial glia	ARL6IP5
gliogenic/outer radial glia	ABCD3
gliogenic/outer radial glia	CHMP4B
gliogenic/outer radial glia	BBX
gliogenic/outer radial glia	SPATS2L
gliogenic/outer radial glia	SYT11
gliogenic/outer radial glia	C5orf30
gliogenic/outer radial glia	NDFIP1
gliogenic/outer radial glia	GRID2
gliogenic/outer radial glia	HSDL2
gliogenic/outer radial glia	IGFBP2
gliogenic/outer radial glia	NKAIN4
gliogenic/outer radial glia	SNHG18
gliogenic/outer radial glia	RAB9A
gliogenic/outer radial glia	PALLD
gliogenic/outer radial glia	ASPH
gliogenic/outer radial glia	TMEM47
gliogenic/outer radial glia	TMEM9B
gliogenic/outer radial glia	ST5
gliogenic/outer radial glia	DMRTA2
gliogenic/outer radial glia	POU3F3
gliogenic/outer radial glia	CPNE2
gliogenic/outer radial glia	NRXN1
gliogenic/outer radial glia	APBB2
gliogenic/outer radial glia	PAM
gliogenic/outer radial glia	MPC1
gliogenic/outer radial glia	SCP2
gliogenic/outer radial glia	HSD17B14
gliogenic/outer radial glia	TSPAN7
gliogenic/outer radial glia	MPP5
gliogenic/outer radial glia	C8orf59
gliogenic/outer radial glia	FOXG1
gliogenic/outer radial glia	RP3-525N10.2
gliogenic/outer radial glia	HEY1
gliogenic/outer radial glia	SARAF
gliogenic/outer radial glia	SESN3
gliogenic/outer radial glia	TP53TG1
gliogenic/outer radial glia	CD81
gliogenic/outer radial glia	MOB3B
gliogenic/outer radial glia	MSI2
gliogenic/outer radial glia	MAGED1
gliogenic/outer radial glia	FERMT2
gliogenic/outer radial glia	LITAF
gliogenic/outer radial glia	PGM1
gliogenic/outer radial glia	LMO4
gliogenic/outer radial glia	ANXA5
gliogenic/outer radial glia	NCAN
gliogenic/outer radial glia	ITM2C
gliogenic/outer radial glia	DDR1
gliogenic/outer radial glia	PSAP
gliogenic/outer radial glia	LAMP2
gliogenic/outer radial glia	EFNB2
gliogenic/outer radial glia	MRPL40
gliogenic/outer radial glia	TAOK3
gliogenic/outer radial glia	BNIP3
gliogenic/outer radial glia	CNTFR
gliogenic/outer radial glia	TOMM7
gliogenic/outer radial glia	KLHDC8A
gliogenic/outer radial glia	AK4
gliogenic/outer radial glia	CSTB
gliogenic/outer radial glia	TROVE2
gliogenic/outer radial glia	ILK
gliogenic/outer radial glia	P4HA1
gliogenic/outer radial glia	CYB5A
gliogenic/outer radial glia	ALDH9A1
gliogenic/outer radial glia	NNT-AS1
gliogenic/outer radial glia	CD63
gliogenic/outer radial glia	SOD1
gliogenic/outer radial glia	RIT1
gliogenic/outer radial glia	LIMCH1
gliogenic/outer radial glia	DHRS7
gliogenic/outer radial glia	ALDH6A1
gliogenic/outer radial glia	SEPT2
gliogenic/outer radial glia	ECI2
gliogenic/outer radial glia	FAM3C
gliogenic/outer radial glia	FUT8
gliogenic/outer radial glia	GCSH
gliogenic/outer radial glia	SIRT2
gliogenic/outer radial glia	ENHO
gliogenic/outer radial glia	ALDH2
gliogenic/outer radial glia	KIAA1715
gliogenic/outer radial glia	RDH11
gliogenic/outer radial glia	JUN
gliogenic/outer radial glia	MRFAP1
gliogenic/outer radial glia	BDH2
gliogenic/outer radial glia	PIR
gliogenic/outer radial glia	RHEB
gliogenic/outer radial glia	SELK
gliogenic/outer radial glia	PNRC1
gliogenic/outer radial glia	PDLIM5
gliogenic/outer radial glia	TCEAL1
gliogenic/outer radial glia	TMBIM6
gliogenic/outer radial glia	FEZ2
gliogenic/outer radial glia	OAT
gliogenic/outer radial glia	CLNS1A
gliogenic/outer radial glia	SLC3A2
gliogenic/outer radial glia	NEAT1
gliogenic/outer radial glia	PHPT1
gliogenic/outer radial glia	C1orf122
gliogenic/outer radial glia	STAT3
gliogenic/outer radial glia	PRCP
gliogenic/outer radial glia	SYNE2
gliogenic/outer radial glia	CFL2
gliogenic/outer radial glia	DNPH1
gliogenic/outer radial glia	LAMTOR5
gliogenic/outer radial glia	P3H4
gliogenic/outer radial glia	ATRAID
gliogenic/outer radial glia	PTPRA
gliogenic/outer radial glia	DARS
gliogenic/outer radial glia	SPAG9
gliogenic/outer radial glia	SLC25A26
gliogenic/outer radial glia	RFXANK
gliogenic/outer radial glia	PPM1K
gliogenic/outer radial glia	SBDS
gliogenic/outer radial glia	HMGCS1
gliogenic/outer radial glia	CBR1
gliogenic/outer radial glia	TMEM132B
gliogenic/outer radial glia	RCN1
gliogenic/outer radial glia	GULP1
gliogenic/outer radial glia	GLUD1
gliogenic/outer radial glia	WBP5
gliogenic/outer radial glia	ALDOA
gliogenic/outer radial glia	PSAT1
gliogenic/outer radial glia	PDPN
gliogenic/outer radial glia	RTN3
gliogenic/outer radial glia	RNH1
gliogenic/outer radial glia	SCD
gliogenic/outer radial glia	CA14
gliogenic/outer radial glia	BNIP3L
gliogenic/outer radial glia	FGFR2
gliogenic/outer radial glia	CYSTM1
gliogenic/outer radial glia	RPS10
gliogenic/outer radial glia	CALD1
gliogenic/outer radial glia	DCTN6
gliogenic/outer radial glia	MT-ND5
gliogenic/outer radial glia	PGLS
gliogenic/outer radial glia	RHOBTB3
gliogenic/outer radial glia	ATP6V0E1
gliogenic/outer radial glia	MSMO1
gliogenic/outer radial glia	MID1
gliogenic/outer radial glia	NDUFC1
gliogenic/outer radial glia	ACO2
gliogenic/outer radial glia	PGRMC2
gliogenic/outer radial glia	PSME1
gliogenic/outer radial glia	IDI1
gliogenic/outer radial glia	GBAS
gliogenic/outer radial glia	TMEM98
gliogenic/outer radial glia	GNG5
gliogenic/outer radial glia	DAD1
gliogenic/outer radial glia	MALAT1
gliogenic/outer radial glia	FKBP10
gliogenic/outer radial glia	STAG2
gliogenic/outer radial glia	ADD3
gliogenic/outer radial glia	RDX
gliogenic/outer radial glia	CETN2
gliogenic/outer radial glia	C4orf3
gliogenic/outer radial glia	SLC16A3
gliogenic/outer radial glia	LYRM2
gliogenic/outer radial glia	EFNB1
gliogenic/outer radial glia	CHMP2A
gliogenic/outer radial glia	LEPROT
gliogenic/outer radial glia	CANX
gliogenic/outer radial glia	HSD17B12
gliogenic/outer radial glia	SQSTM1
gliogenic/outer radial glia	WSB1
gliogenic/outer radial glia	RPN2
gliogenic/outer radial glia	ASAH1
gliogenic/outer radial glia	HLA-A
gliogenic/outer radial glia	MT-ND4
gliogenic/outer radial glia	RAB18
gliogenic/outer radial glia	GOLM1
gliogenic/outer radial glia	FHL1
gliogenic/outer radial glia	FABP5
gliogenic/outer radial glia	JUNB
gliogenic/outer radial glia	MT-ND2
gliogenic/outer radial glia	RAI14
gliogenic/outer radial glia	WDR45B
gliogenic/outer radial glia	PPIB
gliogenic/outer radial glia	CYR61
gliogenic/outer radial glia	NNAT
gliogenic/outer radial glia	NES
gliogenic/outer radial glia	PHGDH
gliogenic/outer radial glia	AMMECR1
gliogenic/outer radial glia	FGFBP3
gliogenic/outer radial glia	FAM162A
gliogenic/outer radial glia	ENO1
IPs and early cortical neurons	TAC3
IPs and early cortical neurons	NHLH1
IPs and early cortical neurons	HES6
IPs and early cortical neurons	NFIA
IPs and early cortical neurons	EOMES
IPs and early cortical neurons	NEUROG2
IPs and early cortical neurons	SSTR2
IPs and early cortical neurons	EMX1
IPs and early cortical neurons	SLCO5A1
IPs and early cortical neurons	PHLDA1
IPs and early cortical neurons	SOX11
IPs and early cortical neurons	GADD45G
IPs and early cortical neurons	TCF4
IPs and early cortical neurons	ELAVL2
IPs and early cortical neurons	ELAVL4
IPs and early cortical neurons	TMSB4X
IPs and early cortical neurons	LHX2
IPs and early cortical neurons	NEUROD6
IPs and early cortical neurons	NFIB
IPs and early cortical neurons	ENC1
IPs and early cortical neurons	KLHL35
IPs and early cortical neurons	TAGLN3
IPs and early cortical neurons	PPP1R17
IPs and early cortical neurons	NEUROG1
IPs and early cortical neurons	NEUROD1
IPs and early cortical neurons	MFNG
IPs and early cortical neurons	HPCAL1
IPs and early cortical neurons	MARCKS
IPs and early cortical neurons	ACTG1
IPs and early cortical neurons	RPS11
IPs and early cortical neurons	RCOR2
IPs and early cortical neurons	PRDX1
IPs and early cortical neurons	RGS16
IPs and early cortical neurons	DMRTA2
IPs and early cortical neurons	MFAP4
IPs and early cortical neurons	EPHA3
IPs and early cortical neurons	C1orf61
IPs and early cortical neurons	RPL37
IPs and early cortical neurons	DLL3
IPs and early cortical neurons	EZR
IPs and early cortical neurons	HNRNPA1
IPs and early cortical neurons	HDAC9
IPs and early cortical neurons	INSM1
IPs and early cortical neurons	FJX1
IPs and early cortical neurons	MYO6
IPs and early cortical neurons	STXBP6
IPs and early cortical neurons	TP53I11
IPs and early cortical neurons	LINC01551
IPs and early cortical neurons	SYNE2
IPs and early cortical neurons	GPC2
IPs and early cortical neurons	IGFBPL1
IPs and early cortical neurons	CHD7
IPs and early cortical neurons	RASGRP1
IPs and early cortical neurons	TBR1
IPs and early cortical neurons	CDC42EP3
IPs and early cortical neurons	GADD45A
IPs and early cortical neurons	SOX4
IPs and early cortical neurons	NAP1L1
IPs and early cortical neurons	MLLT11
IPs and early cortical neurons	RPL39
IPs and early cortical neurons	DDX5
IPs and early cortical neurons	PGAP1
IPs and early cortical neurons	RPS24
IPs and early cortical neurons	FABP7
IPs and early cortical neurons	SNCAIP
IPs and early cortical neurons	PLXNA2
IPs and early cortical neurons	CBFA2T2
IPs and early cortical neurons	EMX2
IPs and early cortical neurons	FYN
IPs and early cortical neurons	IER5
IPs and early cortical neurons	LZTS1
IPs and early cortical neurons	PCBP4
IPs and early cortical neurons	SLC17A7
IPs and early cortical neurons	NR2F1
IPs and early cortical neurons	MLLT4
IPs and early cortical neurons	KCNQ2
IPs and early cortical neurons	SLC22A23
IPs and early cortical neurons	TENM4
IPs and early cortical neurons	DLL1
IPs and early cortical neurons	ADGRG1
IPs and early cortical neurons	BAZ1A
IPs and early cortical neurons	KCNQ3
IPs and early cortical neurons	DDAH2
IPs and early cortical neurons	MAP2
IPs and early cortical neurons	GPM6A
IPs and early cortical neurons	KAT6B
IPs and early cortical neurons	MEX3A
IPs and early cortical neurons	GSE1
IPs and early cortical neurons	H1FX
IPs and early cortical neurons	KIF5C
IPs and early cortical neurons	PALM
IPs and early cortical neurons	MYT1
IPs and early cortical neurons	ELAVL3
IPs and early cortical neurons	PNRC1
IPs and early cortical neurons	ACTB
IPs and early cortical neurons	PCDH9
IPs and early cortical neurons	RNF24
IPs and early cortical neurons	KLHDC8A
IPs and early cortical neurons	RPAIN
IPs and early cortical neurons	TMEM158
IPs and early cortical neurons	DUOX1
IPs and early cortical neurons	CASC15
IPs and early cortical neurons	HES5
IPs and early cortical neurons	ARL4D
IPs and early cortical neurons	SETBP1
IPs and early cortical neurons	FDFT1
IPs and early cortical neurons	RBFOX3
IPs and early cortical neurons	EFS
IPs and early cortical neurons	ARID4B
IPs and early cortical neurons	MAP4K4
IPs and early cortical neurons	CCSAP
IPs and early cortical neurons	CMC1
IPs and early cortical neurons	TSPO
IPs and early cortical neurons	BAIAP2-AS1
IPs and early cortical neurons	CCNG2
IPs and early cortical neurons	MYCL
IPs and early cortical neurons	RPS21
IPs and early cortical neurons	SVIL
IPs and early cortical neurons	RPL36A
IPs and early cortical neurons	NR2F2
IPs and early cortical neurons	DBN1
IPs and early cortical neurons	LINC00461
IPs and early cortical neurons	GTF2I
IPs and early cortical neurons	HN1
IPs and early cortical neurons	ODC1
IPs and early cortical neurons	SSR2
IPs and early cortical neurons	RPS27L
IPs and early cortical neurons	KLF13
IPs and early cortical neurons	CCDC88C
IPs and early cortical neurons	BTG2
IPs and early cortical neurons	BASP1
IPs and early cortical neurons	CRB1
IPs and early cortical neurons	IGFBP2
IPs and early cortical neurons	CCND2
IPs and early cortical neurons	UBXN1
IPs and early cortical neurons	FAM89B
IPs and early cortical neurons	RNF165
IPs and early cortical neurons	PTMS
IPs and early cortical neurons	SMAD9
IPs and early cortical neurons	ZBTB18
IPs and early cortical neurons	NKAIN3
IPs and early cortical neurons	ARHGEF2
IPs and early cortical neurons	TFDP2
IPs and early cortical neurons	RGMB
IPs and early cortical neurons	PLPPR1
IPs and early cortical neurons	APBA2
IPs and early cortical neurons	TUBB2B
IPs and early cortical neurons	APEX1
IPs and early cortical neurons	EIF4A1
IPs and early cortical neurons	CORO1C
IPs and early cortical neurons	DOK5
IPs and early cortical neurons	TMEM163
IPs and early cortical neurons	TUBA1A
IPs and early cortical neurons	PAK3
IPs and early cortical neurons	PGRMC2
IPs and early cortical neurons	FOXG1
IPs and early cortical neurons	EML1
IPs and early cortical neurons	RND3
IPs and early cortical neurons	BCL11A
IPs and early cortical neurons	ATP1B3
IPs and early cortical neurons	C21orf59
IPs and early cortical neurons	MASP1
IPs and early cortical neurons	BCL7A
IPs and early cortical neurons	RBPJ
IPs and early cortical neurons	NNAT
IPs and early cortical neurons	MAP1A
IPs and early cortical neurons	MIAT
IPs and early cortical neurons	FAM127A
IPs and early cortical neurons	BICD1
IPs and early cortical neurons	HEY1
IPs and early cortical neurons	PPA1
IPs and early cortical neurons	IVNS1ABP
IPs and early cortical neurons	AKT3
IPs and early cortical neurons	PLCB1
IPs and early cortical neurons	KLHL24
IPs and early cortical neurons	AES
IPs and early cortical neurons	KDM5B
IPs and early cortical neurons	HNRNPDL
IPs and early cortical neurons	RP3-525N10.2
IPs and early cortical neurons	AUTS2
IPs and early cortical neurons	SFPQ
IPs and early cortical neurons	TANK
IPs and early cortical neurons	RHOBTB3
IPs and early cortical neurons	HIST3H2A
IPs and early cortical neurons	SERINC2
IPs and early cortical neurons	USP3
IPs and early cortical neurons	CUL1
IPs and early cortical neurons	FGD4
IPs and early cortical neurons	MXI1
IPs and early cortical neurons	SRGAP3
IPs and early cortical neurons	PRKX
IPs and early cortical neurons	COPA
IPs and early cortical neurons	CLK1
IPs and early cortical neurons	DACH1
IPs and early cortical neurons	SSR4
IPs and early cortical neurons	KCNG1
IPs and early cortical neurons	BAIAP2
IPs and early cortical neurons	FAM57B
IPs and early cortical neurons	NDUFC2
IPs and early cortical neurons	CALD1
IPs and early cortical neurons	AMOTL2
IPs and early cortical neurons	EBPL
IPs and early cortical neurons	TOP1
IPs and early cortical neurons	NEDD4L
IPs and early cortical neurons	ZNF292
IPs and early cortical neurons	SAT2
IPs and early cortical neurons	SYT11
IPs and early cortical neurons	IGDCC3
IPs and early cortical neurons	TMTC4
IPs and early cortical neurons	EVL
IPs and early cortical neurons	ZNF462
IPs and early cortical neurons	RASL11B
IPs and early cortical neurons	EZH2
IPs and early cortical neurons	CPNE3
IPs and early cortical neurons	ATP6V0E2
IPs and early cortical neurons	GOLIM4
IPs and early cortical neurons	GLRX
IPs and early cortical neurons	PAK1
IPs and early cortical neurons	LIMD2
IPs and early cortical neurons	MAGI1
IPs and early cortical neurons	MYO10
IPs and early cortical neurons	CRABP1
IPs and early cortical neurons	PTPRS
IPs and early cortical neurons	HES1
cortical neurons 2	LMO3
cortical neurons 2	IGFBP5
cortical neurons 2	NEUROD2
cortical neurons 2	THSD7A
cortical neurons 2	NFIB
cortical neurons 2	GPR22
cortical neurons 2	NEUROD6
cortical neurons 2	SNAP25
cortical neurons 2	GPM6A
cortical neurons 2	CNTNAP2
cortical neurons 2	PDE1A
cortical neurons 2	SOX5
cortical neurons 2	RTN1
cortical neurons 2	GRIA2
cortical neurons 2	NECAB1
cortical neurons 2	ID2
cortical neurons 2	HMP19
cortical neurons 2	SNCA
cortical neurons 2	FEZF2
cortical neurons 2	CAMKV
cortical neurons 2	RUNX1T1
cortical neurons 2	NELL2
cortical neurons 2	MAP1B
cortical neurons 2	KHDRBS3
cortical neurons 2	TBR1
cortical neurons 2	FXYD6
cortical neurons 2	FAM49A
cortical neurons 2	MAPT
cortical neurons 2	CELF4
cortical neurons 2	SYT1
cortical neurons 2	LY6H
cortical neurons 2	NEGR1
cortical neurons 2	CPE
cortical neurons 2	CSRP2
cortical neurons 2	GAP43
cortical neurons 2	MEF2C
cortical neurons 2	VSTM2L
cortical neurons 2	BCL11A
cortical neurons 2	STMN2
cortical neurons 2	TMEM59L
cortical neurons 2	NFIA
cortical neurons 2	DACT1
cortical neurons 2	NR4A2
cortical neurons 2	RAB3A
cortical neurons 2	SH3GL2
cortical neurons 2	BEX2
cortical neurons 2	CRMP1
cortical neurons 2	TUBB2A
cortical neurons 2	THRA
cortical neurons 2	CDH7
cortical neurons 2	SEZ6L2
cortical neurons 2	LPL
cortical neurons 2	ST3GAL1
cortical neurons 2	NDFIP1
cortical neurons 2	PCLO
cortical neurons 2	VAMP2
cortical neurons 2	CAMK2B
