cluster	gene
stem cells 1	POLR3K
stem cells 1	TCF7L1
stem cells 1	TMEM167A
stem cells 1	GGCT
stem cells 1	PHACTR2
stem cells 1	LSM6
stem cells 1	RBPMS
stem cells 1	RPS29
stem cells 1	TSTD1
stem cells 1	MRPL42
stem cells 1	CYB5A
stem cells 1	RPL3
stem cells 1	USP9X
stem cells 1	ZFP42
stem cells 1	ZFP36L2
stem cells 1	EIF2S2
stem cells 1	EEF1E1
stem cells 1	ABRACL
stem cells 1	RPS12
stem cells 1	CTSC
stem cells 1	SEC11A
stem cells 1	RPL15
stem cells 1	FAM136A
stem cells 1	CLIC4
stem cells 1	VCL
stem cells 1	LAMTOR1
stem cells 1	FZD7
stem cells 1	ID3
stem cells 1	AKIRIN1
stem cells 1	TPM3
stem cells 1	FKBP1A
stem cells 1	NT5DC2
stem cells 1	RMI2
stem cells 1	RPS3
stem cells 1	GPX1
stem cells 1	APELA
stem cells 1	SSBP1
stem cells 1	ARL2
stem cells 1	EEF1B2
stem cells 1	FST
stem cells 1	FXYD5
stem cells 1	BCL2L12
stem cells 1	S100A11
stem cells 1	DSG2
stem cells 1	PLPP2
stem cells 1	TMEM126B
stem cells 1	PDIA6
stem cells 1	MLEC
stem cells 1	TAGLN
stem cells 1	PRDX6
stem cells 1	RP11-568A7.4
stem cells 1	TPM4
stem cells 1	RCC2
stem cells 1	SLC7A8
stem cells 1	NPC2
stem cells 1	GCSH
stem cells 1	FAM96A
stem cells 1	UQCRH
stem cells 1	IFITM3
stem cells 1	ENY2
stem cells 1	SNRPG
stem cells 1	PRR13
stem cells 1	NOP10
stem cells 1	RPL7
stem cells 1	SFT2D1
stem cells 1	C19orf48
stem cells 1	MAD2L2
stem cells 1	GULP1
stem cells 1	SNRNP25
stem cells 1	TNFRSF12A
stem cells 1	AASS
stem cells 1	CCNB1IP1
stem cells 1	SLC38A2
stem cells 1	EMG1
stem cells 1	RPS27A
stem cells 1	RPS9
stem cells 1	SNRPB
stem cells 1	PSMA4
stem cells 1	OCIAD2
stem cells 1	KRT18
stem cells 1	LINC01356
stem cells 1	HDDC2
stem cells 1	DHCR24
stem cells 1	CENPN
stem cells 1	CENPU
stem cells 1	PAICS
stem cells 1	NLGN4X
stem cells 1	MRPS12
stem cells 1	CEBPZ
stem cells 1	LDHA
stem cells 1	SLC44A1
stem cells 1	RPSA
stem cells 1	MRPL34
stem cells 1	AP1S2
stem cells 1	FAM60A
stem cells 1	ATP5I
stem cells 1	NOP16
stem cells 1	MTA3
stem cells 1	SMCO4
stem cells 1	PDLIM1
stem cells 1	CDC26
stem cells 1	CNIH4
stem cells 1	MT-ATP6
stem cells 1	ENSA
stem cells 1	DNAJC19
stem cells 1	LINC00665
stem cells 1	CISD2
stem cells 1	OAZ2
stem cells 1	RPL18A
stem cells 1	PYCARD
stem cells 1	NFE2L3
stem cells 1	DCUN1D5
stem cells 1	STRA13
stem cells 1	CLDN7
stem cells 1	DAZAP1
stem cells 1	BOD1
stem cells 1	SEPW1
stem cells 1	CNN2
stem cells 1	RPF2
stem cells 1	AIF1L
stem cells 1	GTF3C6
stem cells 1	VRTN
stem cells 1	CHCHD10
stem cells 1	MRPL20
stem cells 1	TUBA1C
stem cells 1	COA4
stem cells 1	SSR3
stem cells 1	CAMTA1
stem cells 1	SMIM20
stem cells 1	PIF1
stem cells 1	S100A10
stem cells 1	PRDX4
stem cells 1	NHP2
stem cells 1	POLR2L
stem cells 1	IGF2BP3
stem cells 1	LIN28B
stem cells 1	GYPC
stem cells 1	GPX8
stem cells 1	TARS
stem cells 1	PHB
stem cells 1	ESRP1
stem cells 1	TAF9
stem cells 1	PTP4A2
stem cells 1	RP11-12G12.7
stem cells 1	SERBP1
stem cells 1	NANOG
stem cells 1	ZDHHC12
stem cells 1	TXNL4A
stem cells 1	QSER1
stem cells 1	RPL13A
stem cells 1	GADD45GIP1
stem cells 1	RNF7
stem cells 1	SMIM3
stem cells 1	PERP
stem cells 1	RP11-469A15.2
stem cells 1	RND2
stem cells 1	RPLP0
stem cells 1	PWAR6
stem cells 1	TMEM183A
stem cells 1	PLEKHJ1
stem cells 1	SLC39A1
stem cells 1	DKC1
stem cells 1	RPL23A
stem cells 1	SLC2A3
stem cells 1	LYAR
stem cells 1	RPS5
stem cells 1	TJP1
stem cells 1	RPA3
stem cells 1	RPS23
stem cells 1	RPL19
stem cells 1	ISOC2
stem cells 1	STOML2
stem cells 1	PRDX1
stem cells 1	SLC1A5
stem cells 1	EIF2AK4
stem cells 1	ETF1
stem cells 1	NSD1
stem cells 1	THY1
stem cells 1	ZNF511
stem cells 1	LYRM4
stem cells 1	KIF20B
stem cells 1	C11orf73
stem cells 1	EIF3A
stem cells 1	SNF8
stem cells 1	FAM195A
stem cells 1	STARD7
stem cells 1	RAN
stem cells 1	GNG5
stem cells 1	COA1
stem cells 1	PIH1D1
stem cells 1	TMA7
stem cells 1	RBM3
stem cells 1	DPH3
stem cells 1	MRPL50
stem cells 1	NAA50
stem cells 1	POP7
stem cells 1	RPL10A
stem cells 1	PHF5A
stem cells 1	PAWR
stem cells 1	MRPL47
stem cells 1	RAB13
stem cells 1	AHCY
stem cells 1	PIM2
stem cells 1	CDH1
stem cells 1	RPS19BP1
stem cells 1	MT-ND1
stem cells 1	MDK
stem cells 1	LSR
stem cells 1	ID1
stem cells 1	CYBA
stem cells 1	TOMM22
stem cells 1	ACAA2
stem cells 1	FGF2
stem cells 1	IGF2BP1
stem cells 1	SNRPD1
stem cells 1	GPR176
stem cells 1	NPM1
stem cells 1	JTB
stem cells 1	HSPD1
stem cells 1	MRPS34
stem cells 1	MIS18A
stem cells 1	RPS7
stem cells 1	DUT
stem cells 1	USO1
stem cells 1	MRPL51
stem cells 1	PSMA3
stem cells 1	CYP2S1
stem cells 1	PMF1
stem cells 1	EEF1D
stem cells 1	CNPY2
stem cells 1	FKBP1B
stem cells 1	TMEM230
stem cells 1	CTSV
stem cells 1	NR2F6
stem cells 1	ERBB2
stem cells 1	POLR2F
stem cells 1	CHAF1A
stem cells 1	ITGA6
stem cells 1	NMRK2
